,ID,NOMBRE PROYECTO,DIRECCIÓN,COMUNA,LATITUD,LONGITUD,INMOBILIARIA,TIPO PROYECTO,FECHA DE ENTREGA,SUP. PROMEDIO,TOTAL UNIDADES PROYECTO,VIGENCIA,FECHA DE PROCESO,CLIMA
2140,2142,CASA ALFEREZ REAL,"ALFEREZ REAL 1161, SANTIAGO, REGION METROPOLITANA, CHILE",PROVIDENCIA,-33.4388159,-70.6177015,INMOBILIARIA E INVERSIONES ALFEREZ REAÑ SPA,CASA,44896,157.0,13,1,2022-12-16,por definir
2141,2143,EDIFICIO DEL CANTO,"GENERAL DEL CANTO 180, SANTIAGO, REGION METROPOLITANA, CHILE",PROVIDENCIA,-33.429618399999995,-70.6177307,BOX INMOBILIARIA,DEPARTAMENTO,45261,57.5,63,1,2022-12-16,por definir
2142,2144,LIBERTAD 51,"LIBERTAD 51, SANTIAGO, REGION METROPOLITANA, CHILE",SANTIAGO,-33.4466345,-70.6733083,INMOBILIA GESTION Y DESARROLLO,DEPARTAMENTO,44896,45.5,710,0,2022-12-16,por definir
2143,2145,EDIFICIO ARGOMEDO 461,"ARGOMEDO 461, SANTIAGO, REGION METROPOLITANA, CHILE",SANTIAGO,-33.4505784,-70.6402384,GRUPO INMOBILIARIO SANTA FE S.A.,DEPARTAMENTO,44866,41.5,175,1,2022-12-16,por definir
2144,2146,TARAPACA 1140,"TARAPACA 1140, SANTIAGO, REGION METROPOLITANA, CHILE",SANTIAGO,-33.4477463,-70.6514998,BRICK INMOBILIARIA,DEPARTAMENTO,44958,37.5,124,1,2022-12-16,por definir
2145,2147,EDIFICIO ESPACIO PARQUE ÑUÑOA,"ZAÑARTU 2075, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4728444,-70.6109207,URMENETA GESTION INMOBILIARIA,DEPARTAMENTO,45200,42.5,218,1,2022-12-16,por definir
2146,2148,CANDELARIA 4500,"CANDELARIA GOYNECHEA 4500, SANTIAGO, REGION METROPOLITANA, CHILE",VITACURA,-33.3939095,-70.5896028,INMOBILIARIA NUCLEOS,DEPARTAMENTO,45108,112.0,42,1,2022-12-16,por definir
2147,2149,EDIFICIO JUAN AGUSTIN,"JUAN AGUSTIN ALCALDE 2727, SANTIAGO, REGION METROPOLITANA, CHILE",VITACURA,-33.394273999999996,-70.5942896,IRC INMOBILIARIA,DEPARTAMENTO,44986,138.0,15,1,2022-12-16,por definir
2148,2150,CONDOMINIO ESPACIO VERDE,"ALBERTO UNDURRAGA 1441, SANTIAGO, REGION METROPOLITANA, CHILE",HUECHURABA,-33.356913,-70.672011,INMOBILIARIA RAUL DEL RIO,DEPARTAMENTO,44958,44.0,132,1,2022-12-16,por definir
2149,2151,SUEÑA SANTA ELISA,"SANTA ELISA 129, SANTIAGO, REGION METROPOLITANA, CHILE",LA CISTERNA,-33.51925,-70.6578399,URMENETA GESTION INMOBILIARIA,DEPARTAMENTO,44896,47.5,184,1,2022-12-16,por definir
2150,2152,QUILIN 4811,"QUILIN 4811, SANTIAGO, REGION METROPOLITANA, CHILE",MACUL,-33.4883665,-70.5836953,GRUPO HOGARES,DEPARTAMENTO,44896,45.5,236,1,2022-12-16,por definir
2151,2153,PAJARITOS DEL PARQUE TORRE 6,"DIAGONAL LOS MARES 7214, SANTIAGO, REGION METROPOLITANA, CHILE",PUDAHUEL,-33.508308899999996,-70.5771235,RENTA NACIONAL,DEPARTAMENTO,45261,52.0,102,1,2022-12-16,por definir
2152,2154,EDIFICIO QUINTAVISTA,"SANTO DOMINGO 3810, SANTIAGO, REGION METROPOLITANA, CHILE",SANTIAGO,-33.4391286,-70.6869348,INMOBILIARIA NORTE VERDE,DEPARTAMENTO,45261,29.0,80,1,2022-12-16,por definir
2153,2155,EDIFICIO COLUMBUS PARK,"COLON 765, SANTIAGO, REGION METROPOLITANA, CHILE",SAN BERNARDO,-33.5894986,-70.70650859999999,RAUDAL INMOBILIARIA,DEPARTAMENTO,44986,51.0,99,1,2022-12-16,por definir
2154,2156,EDIFICIO CHILOE-PRAT,"CHILOE 1464, SANTIAGO, REGION METROPOLITANA, CHILE",SANTIAGO,-33.4649066,-70.6454945,INMOBILIARIA ABSAL,DEPARTAMENTO,44986,39.5,148,1,2022-12-16,por definir
2155,2157,PARQUE DEL SUR,"GONZALEZ BALCARCE 2010, SANTIAGO, REGION METROPOLITANA, CHILE",SANTIAGO,-33.4716509,-70.6611102,INMOBILIARIA ICUADRA,DEPARTAMENTO,44896,26.5,150,1,2022-12-16,por definir
2156,2158,PLAZA COSTANERA,"NUEVA COSTANERA 3480, SANTIAGO, REGION METROPOLITANA, CHILE",VITACURA,-33.4042277,-70.59902319999999,INMOBILIARIA UNICA,DEPARTAMENTO,45261,104.0,66,1,2022-12-16,por definir
2157,2159,SIENA MIGUEL COMAS,"MIGUEL COMAS 1800, SANTIAGO, REGION METROPOLITANA, CHILE",VITACURA,-33.3858374,-70.5652174,SIENA INMOBILIARIA S.A.,DEPARTAMENTO,44986,117.5,32,1,2022-12-16,por definir
2158,2160,ACTIVA DOMINICA,"PERU 1290, SANTIAGO, REGION METROPOLITANA, CHILE",RECOLETA,-33.5375273,-70.6833998,GRUPO ACTIVA,DEPARTAMENTO,45261,41.0,108,1,2022-12-16,por definir
2159,2161,ALTO HURTADO,"SAN IGNACIO 500, SANTIAGO, REGION METROPOLITANA, CHILE",PADRE HURTADO,-33.3316233,-70.7033297,URMENETA GESTION INMOBILIARIA,CASA,44986,96.5,66,1,2022-12-16,por definir
2160,2162,CONCEPTO NEW LIFE MACUL,"EXEQUIEL FERNANDEZ 3526, SANTIAGO, REGION METROPOLITANA, CHILE",MACUL,-33.4862331,-70.6015808,IMAGINA INMOBILIARIA,DEPARTAMENTO,45717,55.5,262,1,2022-12-16,por definir
2161,2163,CONDE MAULE 4260,"CONDE MAULE 4260, SANTIAGO, REGION METROPOLITANA, CHILE",ESTACION CENTRAL,-33.453533799999995,-70.6945966,PILARES,DEPARTAMENTO,44866,55.5,232,1,2022-12-16,por definir
2162,2164,EDIFICIO MATTA SUR,"PADRE ORELLANA 1308, SANTIAGO, REGION METROPOLITANA, CHILE",SANTIAGO,-33.4592379,-70.6316684,ESEPE INMOBILIARIA,DEPARTAMENTO,44713,46.0,67,1,2022-12-16,por definir
2163,2165,CONDOMINIO URUGUAY,"URUGUAY 8866, SANTIAGO, REGION METROPOLITANA, CHILE",LA FLORIDA,-33.5347344,-70.5838023,INMOBILIARIA LEON,DEPARTAMENTO,45261,51.5,124,1,2022-12-16,por definir
2164,2166,DUO CARVAJAL,"CARVAJAL 0656, SANTIAGO, REGION METROPOLITANA, CHILE",LA CISTERNA,-33.515195399999996,-70.6655248,ACONCAGUA S.A.,DEPARTAMENTO,45261,51.0,160,1,2022-12-16,por definir
2165,2167,ECO EGAÑA NORTE,"AMERICO VESPUCIO 173, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4103481,-70.7818963,INMOBILIARIA FUNDAMENTA,DEPARTAMENTO,45992,43.5,661,1,2022-12-16,por definir
2166,2168,PLAZA BUZETA,"BUZETA 4202, SANTIAGO, REGION METROPOLITANA, CHILE",CERRILLOS,-33.4807536,-70.690146,INMOBILIARIA CASTRO Y TAGLE,DEPARTAMENTO,45261,36.0,207,1,2022-12-16,por definir
2167,2169,LA CANDELARIA,"CANDELARIA GOYENECHEA 4233, SANTIAGO, REGION METROPOLITANA, CHILE",VITACURA,-33.3959577,-70.5917202,PUERTO + ARQUITECTURA,DEPARTAMENTO,44835,105.0,27,0,2022-12-16,por definir
2168,2170,42LINARES,"LINARES 1415, SANTIAGO, REGION METROPOLITANA, CHILE",PROVIDENCIA,-33.4374781,-70.6148391,INMOBILIARIA SURMONTE,DEPARTAMENTO,44866,99.0,42,1,2022-12-16,por definir
2169,2171,EDIFICIO BERMANN 512,"BERMANN 512, SANTIAGO, REGION METROPOLITANA, CHILE",SAN MIGUEL,-33.516068,-70.6374244,INMOBILIARIA BERMANN SPA,DEPARTAMENTO,44896,45.5,117,1,2022-12-16,por definir
